positionType,publishTime,peopleNum,positionlink,positionname,workLocation
市场类,2019-03-13,1,position_detail.php?id=48302&keywords=&tid=0&lid=0,26563-腾讯互娱经营分析经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48292&keywords=&tid=0&lid=0,31504-腾讯云CDN专项高级技术支持工程师（深圳/北京）,北京
职能类,2019-03-13,1,position_detail.php?id=48293&keywords=&tid=0&lid=0,ZSC-Senior Patent Counsel,深圳
职能类,2019-03-13,1,position_detail.php?id=48294&keywords=&tid=0&lid=0,HGJ-senior legal counsel（AM）,香港
产品/项目类,2019-03-13,1,position_detail.php?id=48295&keywords=&tid=0&lid=0,28297-Roblox海外技术PM,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48296&keywords=&tid=0&lid=0,31967-直播合作项目经理,深圳
技术类,2019-03-13,5,position_detail.php?id=48286&keywords=&tid=0&lid=0,25664-政务民生解决方案架构师(深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48287&keywords=&tid=0&lid=0,PCG14-数据分析工程师（深圳）,深圳
设计类,2019-03-13,1,position_detail.php?id=48288&keywords=&tid=0&lid=0,GY0-【国际业务部】高级视觉设计师（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48289&keywords=&tid=0&lid=0,26699-智慧零售商业产品经理,上海
产品/项目类,2019-03-13,2,position_detail.php?id=48291&keywords=&tid=0&lid=0,26699-智慧零售产品运营（深圳/成都）,深圳
技术类,2019-03-13,1,position_detail.php?id=48281&keywords=&tid=0&lid=0,21062-高级动画工程师（深圳）,深圳
技术类,2019-03-13,5,position_detail.php?id=48282&keywords=&tid=0&lid=0,25664-公有云解决方案售前架构师(深圳）,深圳
职能类,2019-03-13,2,position_detail.php?id=48283&keywords=&tid=0&lid=0,31871-服务器策略采购专家 ,深圳
,2019-03-13,1,position_detail.php?id=48284&keywords=&tid=0&lid=0,14914-高级策划公关经理（深圳）,深圳
技术类,2019-03-13,5,position_detail.php?id=48285&keywords=&tid=0&lid=0,25664-公检法行业解决方案架构师(深圳）,深圳
内容编辑类,2019-03-13,1,position_detail.php?id=48275&keywords=&tid=0&lid=0,TME-腾讯音乐音乐曲库运营（深圳）,深圳
职能类,2019-03-13,4,position_detail.php?id=48276&keywords=&tid=0&lid=0,S2-CDG财务管理（深圳）,深圳
职能类,2019-03-13,1,position_detail.php?id=48277&keywords=&tid=0&lid=0,S2-Accounting Manager（US）,美国
职能类,2019-03-13,1,position_detail.php?id=48278&keywords=&tid=0&lid=0,FC-流程经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48279&keywords=&tid=0&lid=0,7660-腾讯广告Java开发工程师（安全管理中心）,北京
产品/项目类,2019-03-13,1,position_detail.php?id=48280&keywords=&tid=0&lid=0,GY0-【国际业务部】JOOX海外音乐产品运营（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48270&keywords=&tid=0&lid=0,18428-高级web前端开发工程师,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48271&keywords=&tid=0&lid=0,31506-腾讯云安全高级产品经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48272&keywords=&tid=0&lid=0,31506-腾讯云安全后台开发工程师,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48273&keywords=&tid=0&lid=0,31506-云安全重大项目交付架构师（深圳）,深圳
市场类,2019-03-13,2,position_detail.php?id=48274&keywords=&tid=0&lid=0,19838-影视艺人经纪,北京
技术类,2019-03-13,1,position_detail.php?id=48264&keywords=&tid=0&lid=0,22989-知识图谱后台开发工程师,深圳
技术类,2019-03-13,2,position_detail.php?id=48265&keywords=&tid=0&lid=0,22989-高级NLP工程师,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48266&keywords=&tid=0&lid=0,21882-高级产品运营经理（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48267&keywords=&tid=0&lid=0,21882-高级产品策划经理（深圳）,深圳
设计类,2019-03-13,1,position_detail.php?id=48268&keywords=&tid=0&lid=0,18427-理财通交互设计师,深圳
